127.0.0.1 - - [27/Mar/2020:09:34:16 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:34:21 +0900] "GET /BBS/MovieMain.jsp HTTP/1.1" 200 4383
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:34:21 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:34:21 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 152767
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:34:21 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 72084
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:34:21 +0900] "GET /BBS/image/2.jpg HTTP/1.1" 200 173477
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:34:21 +0900] "GET /BBS/image/1.jpg HTTP/1.1" 200 73500
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:34:21 +0900] "GET /BBS/image/3.jpg HTTP/1.1" 200 216721
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:34:22 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:34:22 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:34:45 +0900] "GET /BBS/movieList.movie HTTP/1.1" 200 3829
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:34:45 +0900] "GET /BBS/image/%EB%B0%B1%EB%91%90%EC%82%B0.jpg HTTP/1.1" 200 57121
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:34:45 +0900] "GET /BBS/image/%ED%9E%88%ED%8A%B8%EB%A7%A8.jpg HTTP/1.1" 200 347443
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:34:45 +0900] "GET /BBS/image/%EC%B2%9C%EB%AC%B8.jpg HTTP/1.1" 200 225643
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:34:45 +0900] "GET /BBS/image/%EB%8B%A5%ED%84%B0%20%EB%91%90%EB%A6%AC%ED%8B%80.jpg HTTP/1.1" 200 158198
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:34:51 +0900] "GET /BBS/MovieMain.jsp HTTP/1.1" 200 4383
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:34:52 +0900] "GET /BBS/movieReserve.movie HTTP/1.1" 200 11892
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:34:52 +0900] "GET /BBS/image/12.png HTTP/1.1" 200 3528
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:34:52 +0900] "GET /BBS/image/all.png HTTP/1.1" 200 4075
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:34:52 +0900] "GET /BBS/js/table.js HTTP/1.1" 200 1097
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:34:52 +0900] "GET /BBS/image/19.png HTTP/1.1" 200 3804
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:34:52 +0900] "GET /BBS/image/15.png HTTP/1.1" 200 3843
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:35:01 +0900] "GET /BBS/MovieMain.jsp HTTP/1.1" 200 4383
0:0:0:0:0:0:0:1 - - [27/Mar/2020:09:35:36 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
