127.0.0.1 - - [15/Mar/2020:23:43:05 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/Mar/2020:23:43:08 +0900] "GET /BBS/MovieMain.jsp HTTP/1.1" 200 4340
0:0:0:0:0:0:0:1 - - [15/Mar/2020:23:43:08 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 152767
0:0:0:0:0:0:0:1 - - [15/Mar/2020:23:43:08 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [15/Mar/2020:23:43:08 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 72084
0:0:0:0:0:0:0:1 - - [15/Mar/2020:23:43:08 +0900] "GET /BBS/image/1.jpg HTTP/1.1" 200 73500
0:0:0:0:0:0:0:1 - - [15/Mar/2020:23:43:08 +0900] "GET /BBS/image/2.jpg HTTP/1.1" 200 173477
0:0:0:0:0:0:0:1 - - [15/Mar/2020:23:43:08 +0900] "GET /BBS/image/3.jpg HTTP/1.1" 200 216721
0:0:0:0:0:0:0:1 - - [15/Mar/2020:23:43:16 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
