0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:44:34 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:44:36 +0900] "GET /BBS/MovieMain.jsp HTTP/1.1" 200 4232
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:44:36 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:44:36 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:44:36 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:44:36 +0900] "GET /BBS/image/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:44:36 +0900] "GET /BBS/image/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:44:36 +0900] "GET /BBS/image/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:44:36 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:44:38 +0900] "GET /BBS/bbsList.bbs?pageNumber=1 HTTP/1.1" 200 5326
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:44:38 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:44:38 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:44:38 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:44:40 +0900] "GET /BBS/view.bbs?bbsID=10 HTTP/1.1" 200 2696
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:44:40 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:44:40 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:44:40 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:44:41 +0900] "GET /BBS/MovieMain.jsp HTTP/1.1" 200 4232
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:44:41 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:44:41 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:44:41 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:44:41 +0900] "GET /BBS/image/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:44:41 +0900] "GET /BBS/image/3.jpg HTTP/1.1" 304 -
